Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Демьян Васнецов",hard,14,Failed,"IDEA North Sniping Tower","IDEA North Sniping Tower: Objective #1","1","08:48:38","08:51:15",
Bot2,"Виталлий Ленин",hard,28,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #5","1","08:48:38","08:49:55",
Bot2,"Виталлий Ленин",hard,28,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #4","1","08:50:01","08:52:14",
Bot5,"Alec Flannagan",hard,40,Completed,"OLI Showroom East","OLI Showroom East: Objective #2","1","08:48:38","08:51:43",
Bot5,"Alec Flannagan",hard,40,Completed,"OLI Showroom East","OLI Showroom East: Objective #1","1","08:51:48","08:51:54",
Bot5,"Alec Flannagan",hard,40,Completed,"OLI Showroom East","OLI Showroom East: Objective #3","1","08:51:59","08:57:47",
Bot5,"Alec Flannagan",hard,40,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #4","1","08:57:52","08:58:07",
Bot5,"Alec Flannagan",hard,40,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #5","1","08:58:12","08:58:22",
Bot5,"Alec Flannagan",hard,40,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #2","1","08:58:27","08:58:51",
Bot5,"Alec Flannagan",hard,40,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #3","1","08:58:57","08:59:10",
Bot5,"Alec Flannagan",hard,40,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #1","1","08:59:15","08:59:26",
Bot5,"Alec Flannagan",hard,40,Failed,"KIBA","KIBA: Objective #1","1","08:59:31","09:02:22",
Bot3,"Христофор Вавилов",normal,12,Archived,"Power Station West Shack","Power Station West Shack: Objective #1","1","08:48:38","08:48:56",
Bot3,"Христофор Вавилов",normal,12,Archived,"IDEA North Bus","IDEA North Bus: Objective #1","1","08:49:01","08:50:02",
Bot3,"Христофор Вавилов",normal,12,Failed,"IDEA North Sniping Tower","IDEA North Sniping Tower: Objective #1","2","08:50:07","08:58:11",
Bot3,"Христофор Вавилов",normal,12,Completed,"Goshan North Office","Goshan North Office: Objective #2","1","08:52:23","08:52:23",
Bot3,"Христофор Вавилов",normal,12,Completed,"Goshan North Office","Goshan North Office: Objective #1","3","08:52:28","08:56:41",
Bot3,"Христофор Вавилов",normal,12,Failed,"Generic","Generic: Objective #2","1","08:56:47","08:58:11",
Bot4,"Leroy Scroggs",normal,40,Failed,"Techlight","Techlight: Objective #1","1","08:48:38","08:50:10",
Bot4,"Leroy Scroggs",normal,40,Completed,"Techlight","Techlight: Objective #2","3","08:50:15","08:54:14",
Bot4,"Leroy Scroggs",normal,40,Failed,"DOM","DOM: Objective #2","1","08:54:20","08:54:36",
[Not Spawned],"Ашот Предводитель (Gino)",hard,1,,,,,,,
[Not Spawned],"Офицерский Насвай (Darren)",hard,1,,,,,,,
[Not Spawned],"Стёпа Бибис (Evan)",hard,1,,,,,,,
[Not Spawned],"Аркадий Колобок (Demarcus)",hard,1,,,,,,,
[Not Spawned],"Ашот Упругий (Derrick)",hard,1,,,,,,,
[Not Spawned],"Ботир Сырой (Vincent)",normal,1,,,,,,,
[Not Spawned],"Пётр Бухгалтер (Jimmy)",normal,1,,,,,,,
[Not Spawned],"Влад ПХП (Colby)",hard,1,,,,,,,
[Not Spawned],"Витек Отбитый (Mary)",hard,1,,,,,,,
[Not Spawned],"Вовчик Топор (Seth)",hard,1,,,,,,,
[Not Spawned],"Вадимка Котовод (Dallis)",hard,1,,,,,,,
[Not Spawned],"Леха Трансформатор (Mohammad)",easy,1,,,,,,,
[Not Spawned],"Пися Сгущёнка (Refugio)",normal,1,,,,,,,
[Not Spawned],"Дед Госдеп (Linel)",easy,1,,,,,,,
[Not Spawned],"Гит Джейк (Hong)",easy,1,,,,,,,
[Not Spawned],"Протасий Удмурт (Архипп)",normal,1,,,,,,,
[Not Spawned],"Арчи Рыхлый (Chet)",easy,1,,,,,,,
[Not Spawned],"Ботир Вертолет (Armon)",hard,1,,,,,,,
[Not Spawned],"Юстин Питерский (Kenny)",easy,1,,,,,,,
[Not Spawned],"Гиви Корявый (Пантелей)",hard,1,,,,,,,
[Not Spawned],"Васян Шнек (Francesco)",hard,1,,,,,,,
