Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot140,"Корней Родзянко",easy,4,Archived,"White Rook","White Rook: Objective #4","1","21:19:39","21:20:08",
Bot140,"Корней Родзянко",easy,4,Archived,"White Rook","White Rook: Objective #2","1","21:20:13","21:20:31",
Bot140,"Корней Родзянко",easy,4,Archived,"White Rook","White Rook: Objective #3","1","21:20:36","21:20:48",
Bot140,"Корней Родзянко",easy,4,Archived,"White Rook","White Rook: Objective #1","1","21:20:53","21:21:44",
Bot140,"Корней Родзянко",easy,4,Completed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #2","1","21:21:49","21:22:26",
Bot140,"Корней Родзянко",easy,4,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","21:22:31","21:23:39",
Bot140,"Корней Родзянко",easy,4,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","21:23:44","21:23:55",
Bot140,"Корней Родзянко",easy,4,Completed,"Hermetic Depot","Hermetic Depot: Objective #5","1","21:24:00","21:25:00",
Bot140,"Корней Родзянко",easy,4,Completed,"Hermetic Depot","Hermetic Depot: Objective #4","1","21:25:05","21:25:34",
Bot140,"Корней Родзянко",easy,4,Completed,"Hermetic Depot","Hermetic Depot: Objective #6","1","21:25:39","21:26:08",
Bot140,"Корней Родзянко",easy,4,Completed,"Hermetic Depot","Hermetic Depot: Objective #1","1","21:26:13","21:26:31",
Bot140,"Корней Родзянко",easy,4,Failed,"Hermetic Depot","Hermetic Depot: Objective #2","1","21:26:36","21:26:45",
Bot140,"Корней Родзянко",easy,4,Completed,"Hermetic Depot","Hermetic Depot: Objective #7","1","21:26:50","21:31:15",
Bot140,"Корней Родзянко",easy,4,Failed,"Black Knight","Black Knight: Objective #1","1","21:31:20","21:32:36",
Bot141,"Георгий Чайка",hard,17,Failed,"Command Center","Command Center: Objective #8","1","21:19:39","21:20:13",
Bot141,"Георгий Чайка",hard,17,Failed,"Command Center","Command Center: Objective #6","1","21:20:18","21:20:38",
Bot141,"Георгий Чайка",hard,17,Completed,"Command Center","Command Center: Objective #9","1","21:20:43","21:21:18",
Bot141,"Георгий Чайка",hard,17,Completed,"Command Center","Command Center: Objective #3","3","21:21:23","21:22:07",
Bot141,"Георгий Чайка",hard,17,Completed,"Command Center","Command Center: Objective #7","2","21:22:12","21:22:46",
Bot141,"Георгий Чайка",hard,17,Pending,"Command Center","Command Center: Objective #5","1","21:22:51","N/A",
Bot141,"Георгий Чайка",hard,17,Completed,"Command Center","Command Center: Objective #4","3","21:24:26","21:24:52",
Bot141,"Георгий Чайка",hard,17,Completed,"Command Center","Command Center: Objective #2","1","21:24:57","21:25:09",
Bot141,"Георгий Чайка",hard,17,Completed,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","21:25:14","21:26:11",
