Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Тарас Шинский",normal,9,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","21:56:22","21:56:49",
Bot2,"Пётр Муратов",normal,4,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:56:22","22:01:51",
Bot4,"Carmine Barth",normal,2,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:56:23","21:56:58",
Bot4,"Carmine Barth",normal,2,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:57:03","22:00:04",
Bot6,"Тихон Снегирёв",normal,5,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:56:23","21:56:26",
Bot6,"Тихон Снегирёв",normal,5,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:56:31","21:57:53",
Bot1,"Аристарх Полтанов",normal,1,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:56:23","22:01:22",
Bot5,"Arron Storrs",easy,4,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:56:23","21:56:33",
Bot5,"Arron Storrs",easy,4,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:56:38","21:57:33",
Bot5,"Arron Storrs",easy,4,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:57:38","22:00:09",
Bot5,"Arron Storrs",easy,4,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","22:00:14","22:03:23",
Bot7,"Edwin Talarico",hard,12,Completed,"Underground Entrance","Underground Entrance: Objective #1","1","21:56:23","21:57:22",
Bot7,"Edwin Talarico",hard,12,Completed,"Underground Entrance","Underground Entrance: Objective #2","1","21:57:27","21:58:22",
Bot7,"Edwin Talarico",hard,12,Completed,"Underground Entrance","Underground Entrance: Objective #3","1","21:58:27","21:59:56",
Bot7,"Edwin Talarico",hard,12,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:00:01","22:01:31",
Bot8,"Панкрат Нуриев",hard,15,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","2","21:56:51","21:57:17",
Bot8,"Панкрат Нуриев",hard,15,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","2","21:57:22","21:57:44",
Bot8,"Панкрат Нуриев",hard,15,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #3","1","21:57:49","21:58:04",
Bot8,"Панкрат Нуриев",hard,15,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","21:58:09","22:00:57",
[Not Spawned],"Олег Зожник (Carson)",normal,1,,,,,,,
[Not Spawned],"Савва Существо (Terence)",normal,1,,,,,,,
[Not Spawned],"Изя Румын (Mack)",normal,1,,,,,,,
[Not Spawned],"Артур Мошенник (Sherman)",easy,1,,,,,,,
[Not Spawned],"Агафон Чебур (Oliver)",normal,1,,,,,,,
[Not Spawned],"Петя Боржоми (Theron)",hard,1,,,,,,,
[Not Spawned],"Гарик Злыдень (Jaime)",hard,1,,,,,,,
[Not Spawned],"Слава Слоупок (Hong)",normal,1,,,,,,,
[Not Spawned],"Ваня Мочалка (Валентин)",hard,1,,,,,,,
[Not Spawned],"Стасик Сендвич (Raymond)",normal,1,,,,,,,
[Not Spawned],"Рома Сега (Ronnie)",normal,1,,,,,,,
[Not Spawned],"Русик Билетик (Johnnie)",hard,1,,,,,,,
[Not Spawned],"Филипп Сметана (Arden)",easy,1,,,,,,,
[Not Spawned],"Васян Дряхлый (Connie)",normal,1,,,,,,,
[Not Spawned],"Олежа Кореец (Mohamed)",hard,1,,,,,,,
