Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot88,"Демиан Русских",easy,24,Failed,"Scrap Metal","Zone place_peacemaker_003_N3","1","19:38:29","19:43:01",
Bot88,"Демиан Русских",easy,24,Completed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","19:43:06","19:43:38",
Bot88,"Демиан Русских",easy,24,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","19:43:43","19:46:23",
Bot88,"Демиан Русских",easy,24,Failed,"Health Care Privacy - Part 2","Item Secure Folder 0060","1","19:46:28","19:47:21",
Bot88,"Демиан Русских",easy,24,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","19:47:26","19:50:18",
Bot90,"Демид Панкратов",normal,12,Completed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","19:38:29","19:54:12",
Bot90,"Демид Панкратов",normal,12,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","19:54:17","19:56:16",
Bot90,"Демид Панкратов",normal,12,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #1","1","19:56:22","19:57:08",
Bot90,"Демид Панкратов",normal,12,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #2","1","19:57:13","19:59:33",
Bot90,"Демид Панкратов",normal,12,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #3","1","19:59:38","19:59:53",
Bot90,"Демид Панкратов",normal,12,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #4","1","19:59:58","20:00:10",
Bot90,"Демид Панкратов",normal,12,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #9","1","20:00:15","20:00:50",
Bot90,"Демид Панкратов",normal,12,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #8","1","20:00:55","20:01:33",
Bot90,"Демид Панкратов",normal,12,Pending,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #7","1","20:01:39","N/A",
Bot91,"Леонид Володин",normal,18,Completed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","19:38:29","19:55:41",
Bot91,"Леонид Володин",normal,18,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","19:55:46","19:57:34",
Bot91,"Леонид Володин",normal,18,Active,"Signal - Part 3","Zone place_SIGNAL_03_2","1","19:57:39","N/A",
Bot92,"Douglass Bouknight",easy,30,Failed,"Nothing Fishy About This","Zone q14_11_jeep","1","19:38:29","19:39:05",
Bot92,"Douglass Bouknight",easy,30,Completed,"Courtesy Visit","Zone huntsman_024_3","1","19:39:10","19:40:24",
Bot92,"Douglass Bouknight",easy,30,Completed,"Courtesy Visit","Zone huntsman_024_1","1","19:40:30","19:41:29",
Bot92,"Douglass Bouknight",easy,30,Failed,"Courtesy Visit","Zone huntsman_024_2","1","19:41:35","19:41:57",
Bot92,"Douglass Bouknight",easy,30,Completed,"Lighthouse Extract Sniper Area","Lighthouse Extract Sniper Area: Objective #1","1","19:42:02","19:43:11",
Bot92,"Douglass Bouknight",easy,30,Failed,"Wet Job - Part 5","Item Working hard drive","1","19:43:17","19:48:13",
Bot89,"Тарас Чукреев",normal,11,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","19:38:29","19:38:48",
Bot89,"Тарас Чукреев",normal,11,Failed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","19:38:53","19:47:46",
Bot94,"Савва Арзамасцев",normal,17,Failed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","19:38:29","19:40:59",
Bot93,"Анатолий Статник",normal,19,Completed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","19:38:29","19:39:11",
Bot93,"Анатолий Статник",normal,19,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","19:39:16","19:43:53",
Bot93,"Анатолий Статник",normal,19,Failed,"Wet Job - Part 4","Item Sliderkey Flash drive","1","19:43:58","19:48:16",
Bot104,"Женя Предводитель (Haywood)",easy,1,Completed,"Cottage Garage","Cottage Garage: Objective #1","1","19:38:51","19:40:05",
Bot104,"Женя Предводитель (Haywood)",easy,1,Completed,"West Cottage","West Cottage: Objective #1","3","19:40:10","19:41:36",
Bot104,"Женя Предводитель (Haywood)",easy,1,Completed,"Bus Terminal","Bus Terminal: Objective #3","2","19:41:41","19:44:10",
Bot104,"Женя Предводитель (Haywood)",easy,1,Completed,"Bus Terminal","Bus Terminal: Objective #2","3","19:44:15","19:44:57",
Bot104,"Женя Предводитель (Haywood)",easy,1,Completed,"Bus Terminal","Bus Terminal: Objective #1","1","19:45:02","19:45:35",
Bot104,"Женя Предводитель (Haywood)",easy,1,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #1","1","19:45:40","19:47:42",
Bot104,"Женя Предводитель (Haywood)",easy,1,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #4","1","19:47:47","19:47:49",
[Not Spawned],"Alphonso Teston",easy,11,,,,,,,
[Not Spawned],"Тихон Лукашенко",easy,15,,,,,,,
[Not Spawned],"Костян Япончик (Manuel)",easy,1,,,,,,,
[Not Spawned],"Валёк Сладкий (Edgardo)",easy,1,,,,,,,
[Not Spawned],"Лева Спартак (Jamar)",normal,1,,,,,,,
[Not Spawned],"Леоня Дробь (Haywood)",easy,1,,,,,,,
[Not Spawned],"Феоктист Снайлер (Kelly)",normal,1,,,,,,,
[Not Spawned],"Донатий Гаджет (Eliseo)",easy,1,,,,,,,
[Not Spawned],"Веня Майонез (Dillon)",easy,1,,,,,,,
[Not Spawned],"Миха Бухгалтер (Enrique)",easy,1,,,,,,,
[Not Spawned],"Федосей Шашлыки (Ward)",easy,1,,,,,,,
[Not Spawned],"Аристарх Копирайтер (Бронислав)",easy,1,,,,,,,
[Not Spawned],"Кабан Покоцаный (Grover)",normal,1,,,,,,,
[Not Spawned],"Митяй Внесистемный (Raymon)",normal,1,,,,,,,
