Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot40,"Ashley Tweedy",easy,6,Completed,"Search Mission","Zone pr_scout_col","1","17:51:41","17:55:26",
Bot40,"Ashley Tweedy",easy,6,Completed,"Search Mission","Zone pr_scout_base","1","17:55:31","17:59:30",
Bot40,"Ashley Tweedy",easy,6,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","17:59:35","18:01:46",
Bot40,"Ashley Tweedy",easy,6,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","18:01:52","18:02:08",
Bot40,"Ashley Tweedy",easy,6,Failed,"USEC Camp North","USEC Camp North: Objective #1","2","18:02:13","18:03:45",
Bot42,"Marcus Mccree",easy,22,Failed,"Steady Signal","Zone q14_8_1","1","17:51:41","18:04:31",
Bot39,"Roy Borrelli",normal,25,Failed,"Scav Town","Scav Town: Objective #4","1","17:51:41","17:55:17",
Bot39,"Roy Borrelli",normal,25,Completed,"Scav Town","Scav Town: Objective #3","2","17:52:27","17:53:28",
Bot39,"Roy Borrelli",normal,25,Failed,"Scav Town","Scav Town: Objective #1","1","17:53:34","17:55:17",
Bot45,"Fermin Winsett",normal,37,Pending,"Boss Hunter","Spawn Point (-174.9 13.6 -649.9)","1","17:51:42","N/A",
Bot41,"Stanley Wald",easy,13,Failed,"Search Mission","Zone pr_scout_col","1","17:51:42","18:04:24",
Bot43,"Фаддей Машир",easy,12,Archived,"Scav Base Sniping","Scav Base Sniping: Objective #1","2","17:51:42","17:55:15",
Bot43,"Фаддей Машир",easy,12,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #1","2","17:55:20","17:57:11",
Bot43,"Фаддей Машир",easy,12,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #2","2","17:57:16","17:57:36",
Bot43,"Фаддей Машир",easy,12,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","17:57:41","17:57:55",
