Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot138,"Лаврентий Лямин",easy,17,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","03:22:59","03:24:02",
Bot138,"Лаврентий Лямин",easy,17,Failed,"Farming - Part 3","Item Package of graphics cards","1","03:24:07","03:24:26",
Bot138,"Лаврентий Лямин",easy,17,Completed,"Delivery From the Past","Item Secure Folder 0022","1","03:24:31","03:27:09",
Bot138,"Лаврентий Лямин",easy,17,Completed,"Golden Swag","Zone extraction_zone_zibbo","2","03:27:14","03:29:15",
Bot138,"Лаврентий Лямин",easy,17,Failed,"Golden Swag","Item Golden Zibbo lighter","1","03:29:21","03:32:59",
Bot140,"Герасим Циммерман",easy,25,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","03:22:59","03:38:11",
Bot143,"Myron Ronk",normal,14,Failed,"Pharmacist","Zone vaz_feld","1","03:22:59","03:24:16",
Bot143,"Myron Ronk",normal,14,Failed,"Pharmacist","Item Carbon case","1","03:24:21","03:32:11",
Bot139,"Аркадий Сазонов",easy,1,Archived,"Train Car","Train Car: Objective #1","1","03:22:59","03:23:17",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Dorms 3 Story Rush","Dorms 3 Story Rush: Objective #1","1","03:23:23","03:28:18",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","03:28:23","03:29:32",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","03:29:37","03:30:16",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","03:30:21","03:30:25",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","03:30:31","03:31:16",
Bot139,"Аркадий Сазонов",easy,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","03:31:21","03:31:24",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","03:31:29","03:31:34",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","03:31:39","03:33:44",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","03:33:49","03:34:13",
Bot139,"Аркадий Сазонов",easy,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","03:34:18","03:34:18",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","03:34:23","03:35:01",
Bot139,"Аркадий Сазонов",easy,1,Completed,"Container near Dorms","Container near Dorms: Objective #1","1","03:35:06","03:36:33",
Bot139,"Аркадий Сазонов",easy,1,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","03:36:38","03:37:07",
Bot141,"Геннадий Лобачевский",normal,10,Failed,"Operation Aquarius - Part 1","Zone room206_water","1","03:22:59","03:27:07",
Bot142,"Елизар Юшков",normal,25,Completed,"Informed Means Armed","Zone place_skier_11_2","2","03:22:59","03:29:46",
Bot142,"Елизар Юшков",normal,25,Failed,"Chemical - Part 2","Item Sliderkey Secure Flash drive","1","03:29:51","03:31:09",
Bot142,"Елизар Юшков",normal,25,Completed,"Chemical - Part 2","Item Sealed letter with a TG logo","1","03:31:14","03:33:34",
Bot142,"Елизар Юшков",normal,25,Completed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","03:33:40","03:35:03",
Bot142,"Елизар Юшков",normal,25,Completed,"Pharmacist","Zone room114","1","03:35:08","03:36:41",
[Not Spawned],"Marty Follis",easy,40,,,,,,,
[Not Spawned],"Blair Casavant",easy,37,,,,,,,
[Not Spawned],"Юрий Абрамович",normal,11,,,,,,,
[Not Spawned],"Пахан РХБЗ (Taylor)",easy,1,,,,,,,
[Not Spawned],"Паисий Дудос (Ali)",easy,1,,,,,,,
[Not Spawned],"Илюша Слоупок (Florencio)",normal,1,,,,,,,
[Not Spawned],"Тимурка Лыжи (Cary)",normal,1,,,,,,,
[Not Spawned],"Родион Кот (Aaron)",easy,1,,,,,,,
[Not Spawned],"Стасик Мультик (Rodrigo)",easy,1,,,,,,,
[Not Spawned],"Сава Котофей (Wallis)",easy,1,,,,,,,
[Not Spawned],"Лаг Бочок (Woosh)",normal,1,,,,,,,
[Not Spawned],"Витя Мистер (Antony)",normal,1,,,,,,,
[Not Spawned],"Жека Метанол (Willian)",hard,1,,,,,,,
[Not Spawned],"Гиви Макаронина (Willie)",normal,1,,,,,,,
[Not Spawned],"Нойс Всемогущий (Napoleon)",easy,1,,,,,,,
[Not Spawned],"Тимофей Мошенник (Darrell)",normal,1,,,,,,,
[Not Spawned],"Карлуша Слеза (Ефрем)",easy,1,,,,,,,
[Not Spawned],"Прокопий Нервный (Jamison)",normal,1,,,,,,,
[Not Spawned],"Юра Незнайка (Roberto)",hard,1,,,,,,,
[Not Spawned],"Вовчик Рэйдж (Dwain)",normal,1,,,,,,,
[Not Spawned],"Диман Макаронина (Максим)",hard,1,,,,,,,
