Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot40,"Корнил Грязнов",impossible,6,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","16:23:32","16:25:56",
Bot40,"Корнил Грязнов",impossible,6,Failed,"Sanitary Standards - Part 1","Zone pumproom","1","16:26:02","16:26:17",
Bot39,"Всеволод Петров",impossible,15,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","16:23:32","16:25:38",
Bot38,"Демиан Баратынский",impossible,1,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","16:23:32","16:24:57",
Bot41,"Паисий Субстанс (Cody)",normal,1,Completed,"Med Tent","Med Tent: Objective #1","2","16:23:32","16:23:58",
Bot41,"Паисий Субстанс (Cody)",normal,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","16:24:03","16:24:24",
Bot41,"Паисий Субстанс (Cody)",normal,1,Completed,"Silos","Silos: Objective #1","1","16:24:29","16:24:33",
Bot41,"Паисий Субстанс (Cody)",normal,1,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","16:24:39","16:25:20",
Bot41,"Паисий Субстанс (Cody)",normal,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","16:25:25","16:26:00",
Bot41,"Паисий Субстанс (Cody)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","16:26:05","16:26:16",
Bot43,"Толян Слон (Forest)",easy,1,Pending,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","16:25:02","N/A",
Bot42,"Пул Тридемакс (Самуил)",easy,1,Completed,"Crates Outside of Scav Bunker","Crates Outside of Scav Bunker: Objective #1","2","16:25:03","16:25:50",
Bot42,"Пул Тридемакс (Самуил)",easy,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","16:25:55","16:26:50",
Bot42,"Пул Тридемакс (Самуил)",easy,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","16:26:55","16:27:04",
Bot42,"Пул Тридемакс (Самуил)",easy,1,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","16:27:09","16:27:47",
Bot42,"Пул Тридемакс (Самуил)",easy,1,Pending,"3rd Floor Office","3rd Floor Office: Objective #1","1","16:27:52","N/A",
Bot44,"Витёк Саймон (Jeff)",normal,1,Completed,"Holding Area Patrol","Holding Area Patrol: Objective #1","1","16:25:43","16:25:49",
Bot44,"Витёк Саймон (Jeff)",normal,1,Completed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","2","16:25:54","16:26:30",
Bot44,"Витёк Саймон (Jeff)",normal,1,Completed,"3rd Floor Office","3rd Floor Office: Objective #1","2","16:26:35","16:27:12",
Bot44,"Витёк Саймон (Jeff)",normal,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","16:27:17","16:27:33",
Bot44,"Витёк Саймон (Jeff)",normal,1,Completed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #2","1","16:27:38","16:27:52",
Bot44,"Витёк Саймон (Jeff)",normal,1,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","16:27:57","16:28:11",
Bot45,"Эдуард Сухарик (Ramon)",easy,1,Completed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","16:26:23","16:27:06",
Bot45,"Эдуард Сухарик (Ramon)",easy,1,Completed,"Med Tent","Med Tent: Objective #1","2","16:27:11","16:27:36",
Bot45,"Эдуард Сухарик (Ramon)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #1","1","16:27:41","16:27:50",
Bot45,"Эдуард Сухарик (Ramon)",easy,1,Completed,"Basement Crates","Basement Crates: Objective #2","1","16:27:56","16:28:01",
Bot45,"Эдуард Сухарик (Ramon)",easy,1,Active,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","16:28:06","N/A",
[Not Spawned],"Корнелий Бэн (Emery)",hard,1,,,,,,,
[Not Spawned],"Кондратий Программист (Клим)",easy,1,,,,,,,
[Not Spawned],"Шингис Тайчин (Tad)",normal,1,,,,,,,
[Not Spawned],"Тима Крест (Humberto)",easy,1,,,,,,,
